account_id,company_name,billing_email,segment,industry,country,employee_count,plan,mrr,status,cs_owner,created_date,health_score,nps_score,last_qbr_date
ACC-0001,Company 001,billing@company001.com,SMB,Fintech,Argentina,3479,Growth,961,Churned,Fernanda Rocha,2021-04-15,7,0,2024-11-22
ACC-0002,Company 002,billing@company002.com,Mid-Market,EdTech,Brazil,926,Starter,268,Active,Carlos Souza,2023-05-26,79,0,2024-03-16
ACC-0003,Company 003,billing@company003.io,Mid-Market,E-commerce,Brazil,2054,Starter,419,Active,Ana Lima,2021-03-23,55,8,2025-01-18
ACC-0004,Company 004,billing@company004.com.br,Enterprise,Retail,Brazil,3387,Enterprise,4955,Active,Carlos Souza,2021-11-29,52,,
ACC-0005,Company 005,billing@company005.com.br,SMB,Healthtech,Brazil,3780,Starter,338,At Risk,Fernanda Rocha,2023-08-22,39,,2024-07-23
ACC-0006,Company 006,billing@company006.com.br,Mid-Market,E-commerce,Argentina,4183,Starter,351,Active,Juliana Matos,2022-07-26,52,,2024-05-13
ACC-0007,Company 007,billing@company007.com,Enterprise,Fintech,Mexico,3569,Professional,2037,Churned,Fernanda Rocha,2021-03-20,32,,2024-10-22
ACC-0008,Company 008,billing@company008.com,Enterprise,EdTech,Mexico,1624,Starter,342,At Risk,Bruno Alves,2021-01-04,18,10,2024-12-05
ACC-0009,Company 009,billing@company009.co,Enterprise,SaaS,USA,2682,Professional,2052,Active,Fernanda Rocha,2022-09-26,80,,2024-07-13
ACC-0010,Company 010,billing@company010.com,SMB,E-commerce,USA,4498,Professional,2162,Active,Ana Lima,2024-03-11,48,,2024-10-23
ACC-0011,Company 011,billing@company011.com,SMB,SaaS,Brazil,4197,Professional,2070,Active,Carlos Souza,2023-06-25,94,1,2024-11-20
ACC-0012,Company 012,billing@company012.com,SMB,SaaS,Brazil,1850,Growth,955,At Risk,Carlos Souza,2022-04-27,28,,
ACC-0013,Company 013,billing@company013.com.br,Mid-Market,Logistics,Argentina,4725,Professional,1998,At Risk,Bruno Alves,2023-07-22,73,,
ACC-0014,Company 014,billing@company014.com.br,SMB,Retail,USA,1802,Starter,294,At Risk,Juliana Matos,2021-08-07,69,,2024-03-03
ACC-0015,Company 015,billing@company015.com,Mid-Market,EdTech,Mexico,2609,Starter,492,Active,Bruno Alves,2023-12-24,88,8,2024-10-07
ACC-0016,Company 016,billing@company016.com.br,Mid-Market,Logistics,Brazil,2035,Enterprise,5164,At Risk,Fernanda Rocha,2023-08-31,76,,
ACC-0017,Company 017,billing@company017.co,Enterprise,E-commerce,Mexico,670,Professional,1984,Active,Carlos Souza,2022-11-19,39,,2024-02-02
ACC-0018,Company 018,billing@company018.com.br,Mid-Market,Fintech,Brazil,3451,Growth,848,Active,Juliana Matos,2023-05-02,99,0,2024-06-29
ACC-0019,Company 019,billing@company019.co,Mid-Market,EdTech,Argentina,4483,Professional,2153,At Risk,Juliana Matos,2023-05-09,38,,
ACC-0020,Company 020,billing@company020.io,Mid-Market,SaaS,Brazil,3838,Starter,484,Active,Carlos Souza,2023-04-09,89,,2024-10-30
ACC-0021,Company 021,billing@company021.com,SMB,Healthtech,USA,1498,Professional,1961,Active,Fernanda Rocha,2023-05-28,58,,2024-06-21
ACC-0022,Company 022,billing@company022.com.br,Mid-Market,E-commerce,Brazil,3862,Starter,253,Churned,Juliana Matos,2023-05-14,8,,2025-02-03
ACC-0023,Company 023,billing@company023.co,SMB,Healthtech,Brazil,1258,Starter,310,Active,Carlos Souza,2022-05-22,70,,2024-04-21
ACC-0024,Company 024,billing@company024.io,Mid-Market,EdTech,Mexico,948,Professional,2148,At Risk,Carlos Souza,2021-12-10,49,,2024-10-21
ACC-0025,Company 025,billing@company025.io,SMB,Fintech,Mexico,1999,Enterprise,4975,Active,Fernanda Rocha,2022-02-11,97,,2024-10-16
ACC-0026,Company 026,billing@company026.com.br,Enterprise,Fintech,Mexico,2805,Growth,752,Active,Bruno Alves,2023-01-29,72,1,2024-11-21
ACC-0027,Company 027,billing@company027.com.br,Mid-Market,SaaS,Brazil,4418,Professional,2147,Active,Bruno Alves,2023-12-05,69,6,2024-05-05
ACC-0028,Company 028,billing@company028.io,Enterprise,EdTech,Mexico,3114,Starter,335,Active,Ana Lima,2023-08-10,73,,2024-06-30
ACC-0029,Company 029,billing@company029.com,Mid-Market,EdTech,Brazil,4242,Growth,991,At Risk,Carlos Souza,2022-07-20,20,3,2025-01-23
ACC-0030,Company 030,billing@company030.com,Enterprise,Logistics,Brazil,772,Professional,2024,Active,Carlos Souza,2023-10-03,61,3,2024-07-07
ACC-0031,Company 031,billing@company031.co,Mid-Market,E-commerce,Brazil,3727,Professional,2018,Active,Fernanda Rocha,2024-02-02,42,,2024-06-10
ACC-0032,Company 032,billing@company032.com,Enterprise,Healthtech,Brazil,3976,Professional,2019,Churned,Juliana Matos,2022-01-15,38,9,2025-03-02
ACC-0033,Company 033,billing@company033.io,Enterprise,Fintech,Argentina,4385,Starter,281,Active,Fernanda Rocha,2022-09-12,15,0,2024-03-05
ACC-0034,Company 034,billing@company034.io,SMB,EdTech,Brazil,3855,Enterprise,5071,Active,Bruno Alves,2021-01-26,53,,
ACC-0035,Company 035,billing@company035.io,Mid-Market,Fintech,Mexico,449,Starter,287,Active,Carlos Souza,2023-10-05,82,,2024-03-01
ACC-0036,Company 036,billing@company036.com,SMB,Retail,Mexico,3126,Professional,2064,Active,Bruno Alves,2022-04-08,48,9,2024-11-13
ACC-0037,Company 037,billing@company037.co,Enterprise,SaaS,Brazil,2177,Professional,2118,At Risk,Ana Lima,2022-03-02,30,,2024-03-21
ACC-0038,Company 038,billing@company038.com,Enterprise,E-commerce,Brazil,1906,Growth,822,Active,Fernanda Rocha,2023-08-21,99,,2024-05-15
ACC-0039,Company 039,billing@company039.co,SMB,Logistics,Brazil,4471,Professional,2006,At Risk,Carlos Souza,2022-02-10,44,,
ACC-0040,Company 040,billing@company040.com,Mid-Market,Logistics,Brazil,3849,Professional,2125,At Risk,Fernanda Rocha,2022-08-15,99,6,2024-09-09
ACC-0041,Company 041,billing@company041.io,Mid-Market,SaaS,Brazil,4955,Starter,313,Active,Ana Lima,2023-06-04,21,,2024-12-10
ACC-0042,Company 042,billing@company042.io,Mid-Market,Logistics,Mexico,3632,Professional,2183,At Risk,Fernanda Rocha,2021-12-25,33,9,2024-09-08
ACC-0043,Company 043,billing@company043.com.br,Enterprise,SaaS,Brazil,1327,Growth,833,Active,Bruno Alves,2022-10-20,98,7,2024-07-24
ACC-0044,Company 044,billing@company044.com,SMB,E-commerce,Brazil,3321,Starter,470,Active,Juliana Matos,2022-06-01,10,10,2024-04-06
